log_name,NSP,F1 Score,Accuracy,Precision,Recall
1001001,0.5293529033660889,0.8571428571428572,0.877,0.9946091644204852,0.753061224489796
0111100,0.5645051598548889,0.9044585987261147,0.91,0.8336594911937377,0.988399071925754
0000011,0.5825351476669312,0.8854961832061069,0.895,0.9830508474576272,0.8055555555555556
1000010,0.5914691686630249,0.9331919406150583,0.937,0.9932279909706546,0.88
0201010,0.48577725887298584,0.7950963222416813,0.766,0.696319018404908,0.926530612244898
0110000,0.680570125579834,0.9235181644359464,0.92,0.8640429338103757,0.9917864476386037
0101100,0.504554033279419,0.878,0.878,0.7967332123411979,0.977728285077951
1010001,0.7179884314537048,0.834061135371179,0.848,0.9408866995073891,0.7490196078431373
0200010,0.5520633459091187,0.7530762920426578,0.699,0.6194331983805668,0.9602510460251046
0100000,0.5817373394966125,0.8475499092558983,0.832,0.759349593495935,0.9589322381930184
0210010,0.640843391418457,0.8972296693476319,0.885,0.8175895765472313,0.994059405940594
1111101,0.6231998205184937,0.8823529411764706,0.888,0.860655737704918,0.9051724137931034
1011011,0.631648600101471,0.8526946107784431,0.877,0.9544235924932976,0.7705627705627706
1000001,0.5959227085113525,0.8774341351660939,0.893,0.9598997493734336,0.8080168776371308
0211001,0.5534200072288513,0.906280193236715,0.903,0.8542805100182149,0.9650205761316872
0210111,0.6232887506484985,0.8946859903381642,0.891,0.8165784832451499,0.9893162393162394
0011010,0.5775455236434937,0.9614243323442137,0.961,0.9510763209393346,0.972
0100101,0.5630350112915039,0.8516649848637741,0.853,0.7672727272727272,0.9569160997732427
0210110,0.6101294755935669,0.8687440982058545,0.861,0.7783417935702199,0.9829059829059829
1210000,0.6821902990341187,0.8894977168949773,0.879,0.8049586776859504,0.9938775510204082
0201110,0.4639236330986023,0.8530259365994237,0.847,0.7762237762237763,0.9466950959488273
1001110,0.4939420521259308,0.9311926605504587,0.94,0.9854368932038835,0.8826086956521739
0110110,0.6314240097999573,0.8758974358974358,0.879,0.7936802973977695,0.977116704805492
0200001,0.5491722822189331,0.7856560717196414,0.737,0.6629986244841816,0.964
1010101,0.679684042930603,0.888661899897855,0.891,0.90625,0.8717434869739479
1200110,0.5763590335845947,0.7737355811889974,0.745,0.6536731634182908,0.9478260869565217
