log_name,NSP,F1 Score,Accuracy,Precision,Recall
1001001,0.5247364640235901,0.8888888888888888,0.899,0.964200477326969,0.8244897959183674
0111100,0.5656006932258606,0.9197860962566846,0.925,0.8531746031746031,0.9976798143851509
0000011,0.5809484720230103,0.9161554192229039,0.918,0.9451476793248945,0.8888888888888888
1000010,0.586482048034668,0.9427402862985685,0.944,0.9644351464435147,0.922
0201010,0.49051472544670105,0.8020134228187918,0.764,0.6809116809116809,0.9755102040816327
0110000,0.6815453767776489,0.9106302916274694,0.905,0.8402777777777778,0.9938398357289527
0101100,0.5066506266593933,0.8477842003853565,0.842,0.7470288624787776,0.9799554565701559
1010001,0.712119996547699,0.9154228855721392,0.915,0.9292929292929293,0.9019607843137255
0200010,0.5521814823150635,0.7657142857142857,0.713,0.6278447121820616,0.9811715481171548
0100000,0.5810309052467346,0.8177083333333334,0.79,0.7082706766917293,0.9671457905544147
0210010,0.6405409574508667,0.8908606921029282,0.877,0.8070739549839229,0.994059405940594
1111101,0.611207127571106,0.9037487335359675,0.905,0.8527724665391969,0.9612068965517241
1011011,0.6302140355110168,0.8671963677639046,0.883,0.9116945107398569,0.8268398268398268
1000001,0.5907965898513794,0.9203539823008849,0.928,0.9674418604651163,0.8776371308016878
0211001,0.5525352358818054,0.9063670411985019,0.9,0.8316151202749141,0.9958847736625515
0210111,0.6218295693397522,0.873713751169317,0.865,0.7770382695507487,0.9978632478632479
0011010,0.5741739869117737,0.9636184857423794,0.963,0.9477756286266924,0.98
0100101,0.5640876293182373,0.8066914498141263,0.792,0.6834645669291338,0.9841269841269841
0210110,0.6167356371879578,0.8805268109125118,0.873,0.7865546218487395,1.0
1210000,0.6794995665550232,0.882088208820882,0.869,0.789049919484702,1.0
0201110,0.45909804105758667,0.8129496402877698,0.792,0.702954898911353,0.9637526652452025
1001110,0.4912203550338745,0.9470124013528749,0.953,0.9836065573770492,0.9130434782608695
0110110,0.6327588558197021,0.8665338645418327,0.866,0.7671957671957672,0.9954233409610984
0200001,0.5494710803031921,0.7631785995279307,0.699,0.62905317769131,0.97
1010101,0.6743587851524353,0.9217046580773043,0.921,0.9117647058823529,0.9318637274549099
1200110,0.5743999481201172,0.7361563517915309,0.676,0.5885416666666666,0.9826086956521739
1101001,0.5743144154548645,0.8445642407906558,0.827,0.7556270096463023,0.9572301425661914
0011001,0.6129283308982849,0.8675496688741722,0.88,0.9447115384615384,0.8020408163265306
0100100,0.5618438124656677,0.8134328358208955,0.8,0.6909667194928685,0.9886621315192744
1011000,0.611474871635437,0.9540229885057472,0.952,0.9222222222222223,0.9880952380952381
1110010,0.7020201683044434,0.9099099099099098,0.9,0.8347107438016529,1.0
0000100,0.5512979030609131,0.949886104783599,0.956,0.9742990654205608,0.9266666666666666
1200100,0.5701161026954651,0.8023064250411862,0.76,0.6820728291316527,0.974
1200011,0.5980379581451416,0.76049766718507,0.692,0.6261203585147247,0.9683168316831683
1210110,0.6515058279037476,0.8395721925133689,0.82,0.7279752704791345,0.991578947368421
1201001,0.5508211851119995,0.8260105448154657,0.802,0.7208588957055214,0.9670781893004116
1210111,0.6546868085861206,0.850091407678245,0.836,0.7512116316639742,0.9789473684210527
0001001,0.5165603756904602,0.9401709401709402,0.944,0.9932279909706546,0.8924949290060852
1210100,0.6601147651672363,0.8687782805429863,0.855,0.7754442649434572,0.9876543209876543
1100111,0.5956345796585083,0.8380952380952381,0.813,0.7434715821812596,0.9603174603174603
1110110,0.6652008891105652,0.892422825070159,0.885,0.8084745762711865,0.9958246346555324
0011100,0.5301567316055298,0.9465478841870824,0.952,0.915948275862069,0.9792626728110599
0001010,0.5087167024612427,0.9589322381930185,0.96,0.9873150105708245,0.9321357285429142
0001000,0.5174056887626648,0.970010341261634,0.971,0.989451476793249,0.9513184584178499
0100011,0.5841647386550903,0.8080808080808081,0.772,0.69164265129683,0.97165991902834
0211101,0.5208613872528076,0.8981571290009699,0.895,0.8282647584973166,0.9809322033898306
0201001,0.4888650178909302,0.8182572614107885,0.781,0.703281027104137,0.9781746031746031
1010111,0.6676955819129944,0.8973305954825462,0.9,0.8828282828282829,0.9123173277661796
0211010,0.5434306859970093,0.8788732394366198,0.871,0.8027444253859348,0.970954356846473
1100100,0.5882617831230164,0.8270270270270271,0.808,0.7183098591549296,0.9745222929936306
1011100,0.5620002746582031,0.9406688241639698,0.945,0.9102296450939458,0.9732142857142857
0101001,0.5536897778511047,0.8236363636363636,0.806,0.7341977309562399,0.937888198757764
1200010,0.6005020141601562,0.7758620689655173,0.714,0.642023346303502,0.9801980198019802
0201111,0.469211220741272,0.8476454293628809,0.835,0.747557003257329,0.9786780383795309
1110000,0.7130357027053833,0.9051643192488262,0.899,0.8296041308089501,0.9958677685950413
0211111,0.5192800164222717,0.8725099601593626,0.872,0.7835420393559929,0.9842696629213483
1001010,0.5292580127716064,0.9665587918015103,0.969,0.9781659388646288,0.9552238805970149
1110101,0.67523592710495,0.8999081726354453,0.891,0.8291032148900169,0.9839357429718876
0111000,0.6190024614334106,0.9072978303747534,0.906,0.8455882352941176,0.9787234042553191
1200000,0.5905299782752991,0.8056648308418568,0.753,0.6772486772486772,0.9941747572815534
0001011,0.5108670592308044,0.8992416034669557,0.907,0.9834123222748815,0.8283433133732535
0010001,0.6982519030570984,0.926984126984127,0.931,0.9182389937106918,0.9358974358974359
0211110,0.5148590803146362,0.8954314720812183,0.897,0.8166666666666667,0.9910112359550561
1211100,0.5876874923706055,0.9195402298850575,0.916,0.8571428571428571,0.9917355371900827
1010010,0.6750673055648804,0.9383697813121272,0.938,0.9042145593869731,0.9752066115702479
1011110,0.546184241771698,0.9117318435754191,0.921,0.9006622516556292,0.9230769230769231
0200000,0.5541328191757202,0.7716289945440373,0.707,0.632183908045977,0.99
0100111,0.5580735206604004,0.8252853380158033,0.801,0.7186544342507645,0.9690721649484536
0210011,0.6455312967300415,0.8998211091234346,0.888,0.8205546492659054,0.996039603960396
0010100,0.6251316070556641,0.9495967741935484,0.95,0.9163424124513618,0.9853556485355649
1100010,0.61545330286026,0.8388278388278388,0.824,0.7508196721311475,0.950207468879668
0211100,0.5192244648933411,0.9075144508670521,0.904,0.8321554770318021,0.9978813559322034
1000110,0.5673786401748657,0.9201773835920177,0.928,0.9304932735426009,0.9100877192982456
1201000,0.5532280206680298,0.8471001757469244,0.826,0.7392638036809815,0.9917695473251029
0200110,0.5373894572257996,0.7164179104477612,0.677,0.5612104539202201,0.9902912621359223
0110100,0.6332437992095947,0.9123809523809523,0.908,0.8462897526501767,0.9896694214876033
1000011,0.5907064080238342,0.9432404540763676,0.945,0.9744136460554371,0.914
1111010,0.6524033546447754,0.912639405204461,0.906,0.8450946643717728,0.9919191919191919
1100110,0.5926811695098877,0.8419243986254296,0.816,0.7424242424242424,0.9722222222222222
0111010,0.6186668276786804,0.9193391642371235,0.917,0.8553345388788427,0.9936974789915967
0110011,0.6708958148956299,0.8989361702127658,0.886,0.817741935483871,0.9980314960629921
0010110,0.629912793636322,0.9423076923076923,0.946,0.8981670061099797,0.9910112359550561
0211000,0.5322167277336121,0.9048507462686568,0.898,0.8276450511945392,0.9979423868312757
0010010,0.6670170426368713,0.9334677419354839,0.934,0.8869731800766284,0.9851063829787234
0101111,0.4957447946071625,0.8493150684931506,0.835,0.7610474631751227,0.9607438016528925
1100101,0.5880364179611206,0.8176895306859205,0.798,0.7111459968602826,0.9617834394904459
0000001,0.5891126990318298,0.9526952695269527,0.957,0.9752252252252253,0.9311827956989247
0111110,0.5617842078208923,0.8802456499488229,0.883,0.7992565055762082,0.979498861047836
0210101,0.6145005822181702,0.8935779816513761,0.884,0.8089700996677741,0.9979508196721312
1010100,0.6570515632629395,0.9510086455331412,0.949,0.9132841328413284,0.9919839679358717
1101111,0.5558190941810608,0.8426763110307415,0.826,0.752827140549273,0.9568788501026694
1010011,0.7093222737312317,0.9164149043303121,0.917,0.8939096267190569,0.9400826446280992
1101100,0.5556865334510803,0.8493408662900187,0.84,0.7554438860971524,0.9698924731182795
1211110,0.5928949117660522,0.8865384615384615,0.882,0.8031358885017421,0.9892703862660944
1201011,0.5504015684127808,0.8234265734265734,0.798,0.7246153846153847,0.9534412955465587
1001101,0.49401068687438965,0.915445321307779,0.925,0.9878345498783455,0.8529411764705882
1101010,0.5825503468513489,0.8464223385689353,0.824,0.7450076804915514,0.9797979797979798
1010000,0.691417396068573,0.9402843601895734,0.937,0.9100917431192661,0.9725490196078431
1011010,0.6061575412750244,0.9308176100628931,0.934,0.9024390243902439,0.961038961038961
1200001,0.5889511108398438,0.8018794048551292,0.747,0.6719160104986877,0.9941747572815534
0111111,0.5629869699478149,0.8703898840885141,0.877,0.8098039215686275,0.9407744874715261
0000111,0.5534119009971619,0.9542920847268673,0.959,0.9532293986636972,0.9553571428571429
1110001,0.7140810489654541,0.9043151969981239,0.898,0.8281786941580757,0.9958677685950413
1000100,0.571345329284668,0.9566184649610678,0.961,0.9750566893424036,0.9388646288209607
0000110,0.5528292059898376,0.9622222222222223,0.966,0.9579646017699115,0.9665178571428571
1001100,0.48684096336364746,0.9511400651465798,0.955,0.9842696629213483,0.9201680672268907
0210001,0.6303454041481018,0.8770343580470162,0.864,0.782258064516129,0.9979423868312757
0200011,0.5520190596580505,0.7497988736926791,0.689,0.6091503267973856,0.9748953974895398
0210100,0.6178141236305237,0.9052044609665427,0.898,0.8282312925170068,0.9979508196721312
1001011,0.5207228064537048,0.9092996555683123,0.921,0.9850746268656716,0.8443496801705757
0201011,0.4850975275039673,0.7887323943661972,0.745,0.6638772663877266,0.9714285714285714
1010110,0.6416791677474976,0.9209486166007905,0.92,0.874296435272045,0.9728601252609603
0010000,0.6654141545295715,0.94824016563147,0.95,0.9196787148594378,0.9786324786324786
1210010,0.689588725566864,0.8827106863596873,0.865,0.7900466562986003,1.0
1000000,0.5791892409324646,0.975557917109458,0.977,0.9828693790149893,0.9683544303797469
1201110,0.5317335724830627,0.8056288478452066,0.779,0.6960486322188449,0.9561586638830898
1111011,0.6708749532699585,0.9134615384615384,0.91,0.8715596330275229,0.9595959595959596
0011101,0.5563636422157288,0.8956228956228955,0.907,0.8730853391684902,0.9193548387096774
1101000,0.5758208632469177,0.8677536231884058,0.854,0.7814029363784666,0.9755600814663951
1201010,0.5547206997871399,0.8340498710232158,0.807,0.7249626307922272,0.9817813765182186
0001101,0.47138842940330505,0.9097472924187726,0.925,0.9379652605459057,0.883177570093458
0010011,0.6863426566123962,0.9077568134171907,0.912,0.8946280991735537,0.9212765957446809
0111101,0.5779644250869751,0.8991416309012875,0.906,0.8363273453093812,0.9721577726218097
1110111,0.667661726474762,0.8775894538606402,0.87,0.7993138936535163,0.9728601252609603
0010111,0.6458314657211304,0.883569096844396,0.893,0.8565400843881856,0.9123595505617977
1011001,0.642880916595459,0.8929663608562692,0.895,0.9182389937106918,0.8690476190476191
0201000,0.48735693097114563,0.8282157676348548,0.793,0.7118402282453637,0.9900793650793651
0000010,0.5855321288108826,0.9417670682730923,0.942,0.9532520325203252,0.9305555555555556
0101011,0.5469241142272949,0.8413284132841328,0.828,0.7487684729064039,0.96
1110011,0.7141413688659668,0.9079307201458523,0.899,0.8412162162162162,0.9861386138613861
1211000,0.6154597997665405,0.8928909952606635,0.887,0.810671256454389,0.9936708860759493
0011110,0.5239567160606384,0.9552572706935122,0.96,0.9405286343612335,0.9704545454545455
1111110,0.6171374917030334,0.8942486085343229,0.886,0.8225255972696246,0.9796747967479674
0101010,0.5505890250205994,0.8433734939759037,0.831,0.7533112582781457,0.9578947368421052
1111111,0.6230685114860535,0.9009345794392524,0.894,0.8339100346020761,0.9796747967479674
0010101,0.6524218916893005,0.9380710659898477,0.939,0.9112426035502958,0.9665271966527197
0210000,0.6265152096748352,0.8794197642792384,0.867,0.7860615883306321,0.9979423868312757
1101101,0.5535720586776733,0.8450433108758423,0.839,0.764808362369338,0.9440860215053763
1201101,0.5312294960021973,0.8392007611798287,0.831,0.7399328859060402,0.9692307692307692
1111100,0.6179628372192383,0.9154228855721394,0.915,0.8502772643253235,0.9913793103448276
0200101,0.5296005606651306,0.7814569536423841,0.736,0.6492434662998624,0.9812889812889813
1001000,0.5284296274185181,0.9667359667359667,0.968,0.9851694915254238,0.9489795918367347
1101110,0.5551465749740601,0.8624883068288118,0.853,0.7920962199312714,0.946611909650924
0200100,0.5307953357696533,0.7842493847415914,0.737,0.6476964769647696,0.9937629937629938
1211010,0.6166848540306091,0.9009990917347864,0.891,0.8211920529801324,0.9979879275653923
0110010,0.6656307578086853,0.9005328596802842,0.888,0.8203883495145631,0.9980314960629921
1210001,0.6867439150810242,0.8905243790248389,0.881,0.8107202680067002,0.9877551020408163
0201100,0.4593150019645691,0.7929759704251387,0.776,0.673469387755102,0.9640449438202248
1200111,0.5819616913795471,0.75,0.7,0.6081081081081081,0.9782608695652174
1100001,0.6069985032081604,0.8371696504688831,0.809,0.7317436661698957,0.9780876494023905
0011111,0.5404430627822876,0.7747747747747747,0.825,0.8931750741839762,0.6840909090909091
0100110,0.5506435036659241,0.8262748487467589,0.799,0.7113095238095238,0.9855670103092784
0100001,0.5891941785812378,0.8184931506849316,0.788,0.7019089574155654,0.9815195071868583
1210011,0.6908978819847107,0.8840453356582388,0.867,0.7934272300469484,0.9980314960629921
1211111,0.5886793732643127,0.8850574712643678,0.88,0.7993079584775087,0.9914163090128756
0011011,0.6029444932937622,0.8980891719745223,0.904,0.9570135746606335,0.846
0000000,0.5838276147842407,0.9721627408993576,0.974,0.9680170575692963,0.9763440860215054
1201100,0.5246396660804749,0.825636192271442,0.815,0.7227722772277227,0.9626373626373627
0201101,0.4676702916622162,0.8037735849056603,0.792,0.6926829268292682,0.9573033707865168
0101101,0.502629280090332,0.8549323017408125,0.85,0.7555555555555555,0.9844097995545658
0011000,0.5863373279571533,0.9679358717434868,0.968,0.9507874015748031,0.9857142857142858
1011101,0.5965224504470825,0.8537735849056605,0.876,0.905,0.8080357142857143
0211011,0.5465767979621887,0.8907563025210083,0.883,0.8098471986417657,0.9896265560165975
1100011,0.6142895817756653,0.8053571428571429,0.782,0.7068965517241379,0.9356846473029046
1001111,0.4899912178516388,0.8812351543942993,0.9,0.9712041884816754,0.8065217391304348
1000111,0.5754045248031616,0.9159953970080552,0.927,0.9636803874092009,0.8728070175438597
1211101,0.5924748778343201,0.905624404194471,0.901,0.8407079646017699,0.981404958677686
0101110,0.49948370456695557,0.8468468468468469,0.83,0.7507987220447284,0.9710743801652892
0110001,0.6810202598571777,0.9121813031161474,0.907,0.8444055944055944,0.9917864476386037
1211011,0.6188367605209351,0.8947849954254345,0.885,0.8204697986577181,0.9839034205231388
0000101,0.5578036308288574,0.9299655568312285,0.939,0.9619952494061758,0.9
1111001,0.6640620827674866,0.9146692233940557,0.911,0.8579136690647482,0.9794661190965093
