log_name,NSP,F1 Score,Accuracy,Precision,Recall
bpic15-0.3-4,0.6419394016265869,0.4926739926739927,0.47388414055080724,0.34267515923566877,0.8762214983713354
large-0.3-4,0.8810995817184448,0.9219088937093276,0.9568,1.0,0.8551307847082495
small-0.3-4,0.88938969373703,0.8851622311337952,0.937,1.0,0.7939829954218444
bpic13-0.3-3,0.5235456824302673,0.37,0.8461538461538461,0.9736842105263158,0.22839506172839505
medium-0.3-3,0.7734039425849915,0.77720207253886,0.8882,1.0,0.635593220338983
medium-0.3-1,0.8030601739883423,0.8213861386138614,0.9098,1.0,0.6969086021505376
bpic17-0.3-1,0.8635626435279846,0.7006615481191752,0.8032625599035196,0.6414110158253028,0.7719727601617365
wide-0.3-3,0.811011016368866,0.8873546511627906,0.938,0.9854721549636803,0.8070059484467944
large-0.3-2,0.8961770534515381,0.9106945975744212,0.9514,1.0,0.8360323886639676
bpic17-0.3-2,0.8305644989013672,0.60301192219201,0.8234213280614024,0.9721800708143652,0.4370499507314485
bpic13-0.3-1,0.666865348815918,0.46893787575150303,0.8217888365837256,0.8666666666666667,0.32142857142857145
small-0.3-3,0.9064184427261353,0.9083636363636364,0.9496,0.9944267515923567,0.8360107095046854
bpic12-0.3-1,0.8479868173599243,0.7022609643149006,0.8329640100863452,0.7549048316251831,0.6564807741278329
huge-0.3-2,0.8311744332313538,0.9014740108611327,0.9492,1.0,0.8206214689265536
p2p-0.3-3,0.8657606244087219,0.8839700107104606,0.935,1.0,0.7920665387076136
wide-0.3-4,0.7694857120513916,0.8816793893129771,0.938,1.0,0.78839590443686
huge-0.3-1,0.8401576280593872,0.8956228956228957,0.9442,1.0,0.8109756097560976
gigantic-0.3-1,0.7859542369842529,0.7405271828665568,0.874,0.9793028322440087,0.595364238410596
p2p-0.3-1,0.8907932639122009,0.9114210327930644,0.953,1.0,0.8372576177285319
wide-0.3-2,0.8236057162284851,0.8772478498827209,0.9372,1.0,0.7813370473537604
bpic15-0.3-2,0.49840983748435974,0.4702058504875406,0.41225961538461536,0.3140376266280753,0.9353448275862069
large-0.3-1,0.8360629677772522,0.9232394366197183,0.9564,1.0,0.8574231523871811
bpic15-0.3-1,0.5801402926445007,0.5225092250922508,0.4603836530442035,0.36683937823834195,0.9076923076923077
gigantic-0.3-3,0.7725067138671875,0.8271698113207547,0.9084,0.9990884229717412,0.7057308435286542
medium-0.3-4,0.7908316850662231,0.8274820687051719,0.9086,0.997270245677889,0.7070967741935484
medium-0.3-2,0.8074722290039062,0.8309294871794872,0.9156,1.0,0.7107607950651131
huge-0.3-4,0.8340694308280945,0.9009416195856874,0.9474,1.0,0.8197395476353667
gigantic-0.3-4,0.7834293246269226,0.7974532431356944,0.8982,0.9881656804733728,0.6684456304202802
bpic13-0.3-2,0.6876301169395447,0.5978666666666668,0.8003706645485835,0.7508372404554589,0.4966770048737262
p2p-0.3-2,0.8983139991760254,0.8523274478330658,0.9264,1.0,0.7426573426573426
bpic15-0.3-3,0.6173071265220642,0.5253456221198157,0.48828956706884313,0.3691026827012026,0.910958904109589
bpic15-0.3-5,0.5875374674797058,0.4947916666666666,0.49653979238754326,0.3450363196125908,0.8742331288343558
large-0.3-3,0.8642541170120239,0.9036982790186745,0.9474,1.0,0.824315297261189
small-0.3-2,0.9114826917648315,0.9115646258503401,0.9506,1.0,0.8375
huge-0.3-3,0.830793559551239,0.8952172325666302,0.9426,0.973015873015873,0.8289384719405003
wide-0.3-1,0.8468707799911499,0.8379539242483404,0.917,0.9962859795728877,0.7230458221024259
paper-0.3-1,0.9325880408287048,0.9128661475713756,0.953,1.0,0.839699863574352
small-0.3-1,0.8876272439956665,0.9106289076866495,0.9514,1.0,0.8359216745442268
gigantic-0.3-2,0.791555643081665,0.7845659163987136,0.8928,0.9949031600407747,0.6476443264764432
p2p-0.3-4,0.903264045715332,0.895444361463779,0.944,1.0,0.810682893847194
