log_name,NSP,F1 Score,Accuracy,Precision,Recall
0010011,0.5441080927848816,0.9090909090909091,0.9,0.8333333333333334,1.0
0200003,0.5796957015991211,0.9959839357429718,0.996,1.0,0.992
1001114,0.484127014875412,0.9878542510121457,0.988,1.0,0.976
1110100,0.5641538500785828,0.9416342412451363,0.94,0.9166666666666666,0.968
0100113,0.5918285846710205,1.0,1.0,1.0,1.0
1201011,0.5966086387634277,0.9316239316239316,0.936,1.0,0.872
1201104,0.5648275017738342,0.9098712446351932,0.916,0.9814814814814815,0.848
0000110,0.47854211926460266,0.9881422924901185,0.988,0.9765625,1.0
0110010,0.5774012804031372,0.9727626459143969,0.972,0.946969696969697,1.0
0110011,0.5777020454406738,0.9578544061302682,0.956,0.9191176470588235,1.0
1001111,0.5175439119338989,0.9878542510121457,0.988,1.0,0.976
0200114,0.5487675070762634,0.9960159362549801,0.996,0.9920634920634921,1.0
1211110,0.549736499786377,0.8842975206611571,0.888,0.9145299145299145,0.856
0210004,0.5393649339675903,0.9157509157509157,0.908,0.8445945945945946,1.0
1100004,0.5914521217346191,0.9919354838709677,0.992,1.0,0.984
0211114,0.5130189657211304,0.992,0.992,0.992,0.992
0011101,0.5114881992340088,1.0,1.0,1.0,1.0
1200000,0.541113018989563,0.9800796812749003,0.98,0.9761904761904762,0.984
0201002,0.5227113366127014,0.9960159362549801,0.996,0.9920634920634921,1.0
1110011,0.6164591312408447,0.8955223880597014,0.888,0.8391608391608392,0.96
0110013,0.5940445065498352,0.9689922480620156,0.968,0.9398496240601504,1.0
0201112,0.5535355806350708,0.9763779527559056,0.976,0.9612403100775194,0.992
1211102,0.4963110685348511,0.9372384937238494,0.94,0.9824561403508771,0.896
1101113,0.6119857430458069,0.9495798319327732,0.952,1.0,0.904
0210114,0.5201704502105713,0.9259259259259259,0.92,0.8620689655172413,1.0
0000003,0.5662174820899963,0.9959839357429718,0.996,1.0,0.992
1000002,0.5653276443481445,1.0,1.0,1.0,1.0
1000012,0.4879376292228699,1.0,1.0,1.0,1.0
1201103,0.5612406134605408,0.923076923076923,0.928,0.9908256880733946,0.864
0001012,0.5379765033721924,0.9919354838709677,0.992,1.0,0.984
1000103,0.5585635304450989,1.0,1.0,1.0,1.0
0211103,0.484998494386673,0.9881422924901185,0.988,0.9765625,1.0
