log_name,best F1 Score,activity,user,day,country,company,org:resource
bpic15-0.3-4,0.5056277056277055,1.0,0.0,0.0,0.0,0.0,1.0
large-0.3-4,0.9692005242463959,0.9265090571409967,0.9936965190542577,0.9911579830947376,0.9966684423964741,0.9985053294156235,0.0
small-0.3-4,0.9963922597572975,0.8278363186532968,0.9904067830318212,0.9963652705889903,0.9781928355009939,0.9845462367771773,0.0
bpic13-0.3-3,0.576036866359447,0.828375725174326,0.0,0.0,0.0,0.0,1.0
medium-0.3-3,0.9830839297332465,0.8533751427391656,0.9949263762984323,0.9891990360519619,0.9969870664467778,0.0,0.0
medium-0.3-1,0.9860742705570291,0.9226643392886357,0.9791617907663178,0.0,0.0,0.0,0.0
bpic17-0.3-1,0.7481146304675717,0.9883488109504183,0.0,0.0,0.0,0.0,0.9999211147970308
wide-0.3-3,0.9822251481237657,0.9675207530753166,0.9917105677224003,0.9913896846404108,0.9973316674626982,0.0,0.0
large-0.3-2,0.9884823848238482,0.9436510592034597,0.9932392413141606,0.9942215299549384,0.0,0.0,0.0
bpic17-0.3-2,0.8576631050949943,0.8933000981720377,0.0,0.0,0.0,0.0,0.9986557431852473
bpic13-0.3-1,0.6307541625857002,0.8,0.0,0.0,0.0,0.0,1.0
small-0.3-3,0.9929883138564274,0.8663512856706954,0.989960649321459,0.9896964892789041,0.9974550284626224,0.0,0.0
bpic12-0.3-1,0.7264862466725821,0.9574429407027198,0.0,0.0,0.0,0.0,0.0
huge-0.3-2,0.9737118822292323,0.9788030622817512,0.9940235846283849,0.9809580256718091,0.0,0.0,0.0
p2p-0.3-3,0.9901368119630926,0.9098484025073246,0.9871932890288058,0.9871220379398545,0.9750143245303193,0.0,0.0
wide-0.3-4,0.9884038199181445,0.9242980146724649,0.9991281468548021,0.9869068113036363,0.9933344266074854,0.9871873141169448,0.0
huge-0.3-1,0.9865319865319865,0.9532156805100225,0.9900215705341145,0.0,0.0,0.0,0.0
gigantic-0.3-1,0.9548678272082527,0.9395711778001039,0.9922096060788845,0.0,0.0,0.0,0.0
p2p-0.3-1,0.9947789766794292,0.8835394564532694,0.995472924190166,0.0,0.0,0.0,0.0
wide-0.3-2,0.983983286908078,0.9530459104436588,0.98997491601455,0.9878984587667307,0.0,0.0,0.0
bpic15-0.3-2,0.43650047036688616,0.9833471745357717,0.0,0.0,0.0,0.0,0.999762422994017
large-0.3-1,0.9925008151287903,0.8894971148317032,0.9912142157504893,0.0,0.0,0.0,0.0
bpic15-0.3-1,0.5116588940706196,0.991125064357765,0.0,0.0,0.0,0.0,0.9984861855079928
gigantic-0.3-3,0.9716859716859716,0.9404995327958936,0.9987425387972073,0.980739271413021,0.9982730501812471,0.0,0.0
medium-0.3-4,0.9678042498390214,0.9736008893016692,0.9999158797778509,0.9705607658287514,0.993307383897378,0.9935996826815303,0.0
medium-0.3-2,0.9817555938037866,0.9634713285436711,0.9894964441092211,0.9824413498064666,0.0,0.0,0.0
huge-0.3-4,0.948507707445064,0.88035904618597,0.9880727760983549,0.9866614921222634,0.9929003905840637,0.9970935554154903,0.0
gigantic-0.3-4,0.9588671611598112,0.936292108209286,0.9988197847547454,0.9815460098642059,0.9998298736242921,0.9995991884551854,0.0
bpic13-0.3-2,0.6462189317821257,0.9366128375562442,0.0,0.0,0.0,0.0,1.0
p2p-0.3-2,0.9894366197183099,0.9541883538684194,0.9847679569496655,0.9944871185049702,0.0,0.0,0.0
bpic15-0.3-3,0.5520054384772264,1.0,0.0,0.0,0.0,0.0,1.0
bpic15-0.3-5,0.49725490196078426,0.9867952758358716,0.0,0.0,0.0,0.0,1.0
large-0.3-3,0.9781659388646289,0.9594982452869281,0.9982170490366695,0.9918358292528642,0.9992251426919966,0.0,0.0
small-0.3-2,0.9933774834437086,0.9560923661808123,0.991221200694931,0.9962789032527583,0.0,0.0,0.0
huge-0.3-3,0.9674850696748507,0.936560226974165,0.9974706023880932,0.9777200572782642,0.9955033807000498,0.0,0.0
wide-0.3-1,0.9932523616734144,0.9626387868593929,0.9931578550003068,0.0,0.0,0.0,0.0
paper-0.3-1,0.9996588195155236,0.8834044009405149,0.9440648986884317,0.0,0.0,0.0,0.0
small-0.3-1,0.9986495611073599,0.9430257849825731,0.9942696328470444,0.0,0.0,0.0,0.0
gigantic-0.3-2,0.9690444145356661,0.9337796811813726,0.9986850009452131,0.9816893857515767,0.0,0.0,0.0
p2p-0.3-4,0.9972936400541271,0.9725312494728068,0.9944595616829732,0.9936657089214928,0.9832094973588635,0.9904108780899377,0.0
