log_name,NSP,F1 Score,Accuracy,Precision,Recall
1001001,0.5247364640235901,0.6957671957671957,0.77,0.9887218045112782,0.536734693877551
0111100,0.5656006932258606,0.9280177187153932,0.935,0.8877118644067796,0.9721577726218097
0000011,0.5809484720230103,0.8032786885245902,0.832,0.98,0.6805555555555556
1000010,0.586482048034668,0.9033659066232356,0.911,0.9881235154394299,0.832
0201010,0.49051472544670105,0.8339843750000001,0.83,0.799625468164794,0.8714285714285714
0110000,0.6815453767776489,0.924124513618677,0.922,0.878003696857671,0.9753593429158111
0101100,0.5066506266593933,0.9010011123470524,0.911,0.9,0.9020044543429844
1010001,0.712119996547699,0.7395957193816884,0.781,0.9395770392749244,0.6098039215686275
0200010,0.5521814823150635,0.7804444444444444,0.753,0.678516228748068,0.9184100418410042
0100000,0.5810309052467346,0.8380213385063044,0.833,0.7941176470588235,0.8870636550308009
0210010,0.6405409574508667,0.9044585987261147,0.895,0.8367003367003367,0.9841584158415841
1111101,0.611207127571106,0.7866507747318235,0.821,0.88,0.7112068965517241
1011011,0.6302140355110168,0.6713483146067416,0.766,0.956,0.5173160173160173
1000001,0.5907965898513794,0.8228004956629491,0.857,0.996996996996997,0.70042194092827
0211001,0.5525352358818054,0.8459958932238194,0.85,0.8442622950819673,0.8477366255144033
0210111,0.6218295693397522,0.8411405295315683,0.844,0.8035019455252919,0.8824786324786325
0011010,0.5741739869117737,0.9604060913705583,0.961,0.9752577319587629,0.946
0100101,0.5640876293182373,0.8459086078639745,0.855,0.796,0.9024943310657596
0210110,0.6167356371879578,0.9028459273797841,0.901,0.8348457350272233,0.9829059829059829
1210000,0.6794995665550232,0.8874538745387454,0.878,0.8097643097643098,0.9816326530612245
0201110,0.45909804105758667,0.8387096774193549,0.845,0.8191056910569106,0.8592750533049041
1001110,0.4912203550338745,0.9062870699881377,0.921,0.9973890339425587,0.8304347826086956
0110110,0.6327588558197021,0.8964059196617336,0.902,0.8330058939096268,0.9702517162471396
0200001,0.5494710803031921,0.733275412684622,0.693,0.6482334869431644,0.844
1010101,0.6743587851524353,0.8036529680365297,0.828,0.9336870026525199,0.7054108216432866
1200110,0.5743999481201172,0.7650882079851439,0.747,0.6677471636952999,0.8956521739130435
1101001,0.5743144154548645,0.7991587802313354,0.809,0.8260869565217391,0.7739307535641547
0011001,0.6129283308982849,0.648721399730821,0.739,0.9525691699604744,0.49183673469387756
0100100,0.5618438124656677,0.8702928870292886,0.876,0.8077669902912621,0.9433106575963719
1011000,0.611474871635437,0.9360406091370558,0.937,0.9584199584199584,0.9146825396825397
1110010,0.7020201683044434,0.9260991580916744,0.921,0.8776595744680851,0.9801980198019802
0000100,0.5512979030609131,0.8891595615103532,0.909,0.9838274932614556,0.8111111111111111
1200100,0.5701161026954651,0.8306306306306307,0.812,0.7557377049180328,0.922
1200011,0.5980379581451416,0.7684478371501272,0.727,0.672106824925816,0.897029702970297
1210110,0.6515058279037476,0.8502325581395348,0.839,0.7616666666666667,0.9621052631578947
1201001,0.5508211851119995,0.8162055335968379,0.814,0.785171102661597,0.8497942386831275
1210111,0.6546868085861206,0.8267716535433071,0.824,0.7763401109057301,0.8842105263157894
0001001,0.5165603756904602,0.6870838881491345,0.765,1.0,0.5233265720081136
1210100,0.6601147651672363,0.8838951310861424,0.876,0.8109965635738832,0.9711934156378601
1100111,0.5956345796585083,0.8236434108527133,0.818,0.8049242424242424,0.8432539682539683
1110110,0.6652008891105652,0.8955223880597016,0.895,0.8555133079847909,0.9394572025052192
0011100,0.5301567316055298,0.9215686274509803,0.936,0.9842931937172775,0.8663594470046083
0001010,0.5087167024612427,0.8903508771929824,0.9,0.9878345498783455,0.810379241516966
0001000,0.5174056887626648,0.9080841638981174,0.917,1.0,0.8316430020283976
0100011,0.5841647386550903,0.790874524714829,0.78,0.7455197132616488,0.8421052631578947
0211101,0.5208613872528076,0.8691891891891892,0.879,0.8874172185430463,0.8516949152542372
0201001,0.4888650178909302,0.811284046692607,0.806,0.7958015267175572,0.8273809523809523
1010111,0.6676955819129944,0.7696139476961394,0.815,0.9537037037037037,0.6450939457202505
0211010,0.5434306859970093,0.8585757271815446,0.859,0.8310679611650486,0.8879668049792531
1100100,0.5882617831230164,0.8475909537856441,0.845,0.7893772893772893,0.9150743099787686
1011100,0.5620002746582031,0.9148191365227538,0.927,0.9584352078239609,0.875
0101001,0.5536897778511047,0.807241746538871,0.819,0.831140350877193,0.7846790890269151
1200010,0.6005020141601562,0.7841788478073948,0.749,0.6930091185410334,0.902970297029703
0201111,0.469211220741272,0.8346111719605696,0.849,0.8581081081081081,0.8123667377398721
1110000,0.7130357027053833,0.9186046511627907,0.916,0.864963503649635,0.9793388429752066
0211111,0.5192800164222717,0.8396770472895041,0.861,0.8625592417061612,0.8179775280898877
1001010,0.5292580127716064,0.9170506912442395,0.928,0.9974937343358395,0.8486140724946695
1110101,0.67523592710495,0.8591408591408591,0.859,0.8548707753479126,0.8634538152610441
0111000,0.6190024614334106,0.9046653144016227,0.906,0.8643410852713178,0.948936170212766
1200000,0.5905299782752991,0.8437233134073442,0.817,0.7530487804878049,0.9592233009708738
0001011,0.5108670592308044,0.7258883248730965,0.784,0.9965156794425087,0.5708582834331337
0010001,0.6982519030570984,0.7157894736842106,0.784,0.9315068493150684,0.5811965811965812
0211110,0.5148590803146362,0.8951351351351352,0.903,0.8625,0.9303370786516854
1211100,0.5876874923706055,0.9258517034068137,0.926,0.8988326848249028,0.9545454545454546
1010010,0.6750673055648804,0.9096638655462186,0.914,0.9252136752136753,0.8946280991735537
1011110,0.546184241771698,0.8739076154806491,0.899,0.9749303621169917,0.7918552036199095
0200000,0.5541328191757202,0.8305821025195482,0.805,0.7342549923195084,0.956
0100111,0.5580735206604004,0.8072289156626505,0.808,0.786692759295499,0.8288659793814434
0210011,0.6455312967300415,0.8787878787878789,0.872,0.8421052631578947,0.9188118811881189
0010100,0.6251316070556641,0.9463722397476341,0.949,0.9513742071881607,0.9414225941422594
1100010,0.61545330286026,0.8591269841269841,0.858,0.8231939163498099,0.8983402489626556
0211100,0.5192244648933411,0.9161676646706587,0.916,0.8660377358490566,0.972457627118644
1000110,0.5673786401748657,0.8965517241379309,0.913,0.9792207792207792,0.8267543859649122
1201000,0.5532280206680298,0.9070929070929071,0.907,0.8815533980582524,0.934156378600823
0200110,0.5373894572257996,0.7745197168857433,0.777,0.6637781629116117,0.9296116504854369
0110100,0.6332437992095947,0.9232283464566929,0.922,0.881578947368421,0.96900826446281
1000011,0.5907064080238342,0.8393063583815029,0.861,0.9945205479452055,0.726
1111010,0.6524033546447754,0.9310009718172984,0.929,0.897003745318352,0.9676767676767677
